year,cast,movie_link,poster_link
(1984),"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",https://www.imdb.com/title/tt0086879/,"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX45_CR0,0,45,67_AL_.jpg"
(2019),"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",https://www.imdb.com/title/tt7286456/,"https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
(2009),"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",https://www.imdb.com/title/tt0361748/,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY67_CR0,0,45,67_AL_.jpg"
(2017),"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",https://www.imdb.com/title/tt2380307/,"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UY67_CR1,0,45,67_AL_.jpg"
(1995),"John Lasseter (dir.), Tom Hanks, Tim Allen",https://www.imdb.com/title/tt0114709/,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX45_CR0,0,45,67_AL_.jpg"
(1995),"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",https://www.imdb.com/title/tt0112573/,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
(1981),"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",https://www.imdb.com/title/tt0082096/,"https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX45_CR0,0,45,67_AL_.jpg"
(2019),"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",https://www.imdb.com/title/tt4154796/,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
(1997),"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",https://www.imdb.com/title/tt0119698/,"https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UX45_CR0,0,45,67_AL_.jpg"
(1984),"Sergio Leone (dir.), Robert De Niro, James Woods",https://www.imdb.com/title/tt0087843/,"https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
